vacancy_id~vacancy_name~recruiter_name~applicant_id~quota_created_date~hire_date
4~Senior инженер~Кузнецов Алексей Викторович~5~2023-03-23~2023-05-28
2~Junior разработчик~Петров Петр Петрович~3~2023-10-06~2023-10-19
1~Project Manager~Иванов Иван Иванович~2~2023-10-15~2023-11-02
4~Middle аналитик~Кузнецов Алексей Викторович~1~2023-01-27~2023-07-12
3~Middle аналитик~Сидорова Анна Сергеевна~4~2023-08-21~2023-11-21
2~Middle аналитик~Петров Петр Петрович~4~2023-06-10~2023-12-22
1~Project Manager~Иванов Иван Иванович~3~2023-02-03~2023-05-13
1~Junior разработчик~Иванов Иван Иванович~2~2023-04-06~2023-08-17
3~Middle аналитик~Сидорова Анна Сергеевна~2~2023-06-05~2023-03-12
2~Senior инженер~Петров Петр Петрович~5~2023-09-05~2023-09-14
4~Data Scientist~Кузнецов Алексей Викторович~3~2023-11-18~2023-11-23
4~Data Scientist~Кузнецов Алексей Викторович~5~2023-01-30~2023-09-15
4~Data Scientist~Кузнецов Алексей Викторович~2~2023-04-27~2023-09-27
5~Senior инженер~Смирнова Ольга Михайловна~3~2023-08-05~2023-11-21
2~Middle аналитик~Петров Петр Петрович~4~2023-09-23~2023-07-27
3~Middle аналитик~Сидорова Анна Сергеевна~4~2023-04-29~2023-11-08
1~Senior инженер~Иванов Иван Иванович~4~2023-02-24~2023-11-06
2~Senior инженер~Петров Петр Петрович~4~2023-10-25~2023-12-01
2~Junior разработчик~Петров Петр Петрович~1~2023-07-19~2023-09-27
1~Project Manager~Иванов Иван Иванович~2~2023-07-01~2023-09-18
3~Middle аналитик~Сидорова Анна Сергеевна~4~2023-04-23~2023-11-06
5~Middle аналитик~Смирнова Ольга Михайловна~1~2023-01-10~2023-02-06
1~Middle аналитик~Иванов Иван Иванович~2~2023-12-11~2023-12-12
1~Senior инженер~Иванов Иван Иванович~3~2023-07-04~2023-08-30
2~Data Scientist~Петров Петр Петрович~1~2023-10-09~2023-11-03
4~Junior разработчик~Кузнецов Алексей Викторович~5~2023-06-20~2023-12-14
4~Project Manager~Кузнецов Алексей Викторович~4~2023-11-25~2023-12-04
3~Project Manager~Сидорова Анна Сергеевна~3~2023-05-15~2023-10-18
4~Middle аналитик~Кузнецов Алексей Викторович~5~2023-07-09~2023-10-17
5~Junior разработчик~Смирнова Ольга Михайловна~4~2023-04-13~2023-06-25
4~Middle аналитик~Кузнецов Алексей Викторович~3~2023-10-17~2023-10-23
1~Data Scientist~Иванов Иван Иванович~3~2023-09-13~2023-11-22
2~Data Scientist~Петров Петр Петрович~2~2023-12-07~2023-12-09
1~Project Manager~Иванов Иван Иванович~4~2023-02-13~2023-05-10
2~Junior разработчик~Петров Петр Петрович~1~2023-02-02~2023-03-08
4~Middle аналитик~Кузнецов Алексей Викторович~1~2023-04-28~2023-06-22
2~Project Manager~Петров Петр Петрович~5~2023-11-28~2023-12-20
5~Senior инженер~Смирнова Ольга Михайловна~3~2023-02-12~2023-07-18
1~Senior инженер~Иванов Иван Иванович~4~2023-02-01~2023-05-03
4~Middle аналитик~Кузнецов Алексей Викторович~5~2023-03-24~2023-07-26
1~Data Scientist~Иванов Иван Иванович~2~2023-02-21~2023-12-13
4~Junior разработчик~Кузнецов Алексей Викторович~3~2023-12-20~2023-12-24
2~Middle аналитик~Петров Петр Петрович~1~2023-11-16~2023-12-04
1~Data Scientist~Иванов Иван Иванович~1~2023-08-19~2023-12-28
2~Data Scientist~Петров Петр Петрович~5~2023-12-05~2023-12-30
3~Junior разработчик~Сидорова Анна Сергеевна~2~2023-04-03~2023-12-30
